clinic_name,website_url,emirate,primary_specialty
Dubai London Clinic,https://www.dubailondonclinic.com,Dubai,Multi-Specialty
HealthBay Polyclinic,https://www.healthbayclinic.com,Dubai,Multi-Specialty
OrthoSports Medical Center,https://www.orthosportsmc.ae,Dubai,Orthopedics
Micris Dental Clinic,https://micrisdental.com,Dubai,Multi-Specialty
The Nova Clinic,https://thenovaclinic.com,Dubai,Multi-Specialty
Cosmesurge Clinic,https://www.cosmesurge.com,Dubai,Dermatology
Dubai Cosmetic Surgery Clinic,https://www.dubaicosmeticsurgery.com,Dubai,Dermatology
Skin111 Clinic,https://skin111.ae,Dubai,Dermatology
Biolite Aesthetic Clinic,https://biolitedubai.com,Dubai,Dermatology
The German Clinic,https://germanclinic.ae,Dubai,Multi-Specialty
Novomed Clinics,https://www.novomed.com,Dubai,Multi-Specialty
Medicentres Polyclinic,https://www.medicentres.com,Dubai,Multi-Specialty
Prime Medical Center,https://www.primemedicalcenter.ae,Dubai,Multi-Specialty
American Spine Center,https://americanspinecenter.ae,Dubai,Orthopedics
Dubai ENT Clinic,https://dubaientclinic.com,Dubai,ENT
British ENT Clinic,https://britishentclinic.com,Dubai,ENT
Digestive Health Clinic Dubai,https://digestivehealth.ae,Dubai,Gastroenterology
Dr. Elsa Borodina Clinic,https://www.drborodina.ae,Dubai,Gynecology
The Women's Hospital Clinic,https://www.thewomenshospital.ae,Dubai,Gynecology
Dr. Joy Dental Clinic,https://drjoydentalclinic.com,Dubai,Multi-Specialty
NMC Specialty Hospital,https://nmc.ae,Abu Dhabi,Multi-Specialty
HealthPlus Clinics,https://healthplus.ae,Abu Dhabi,Multi-Specialty
Canadian Medical Center,https://cmcdubai.ae,Abu Dhabi,Multi-Specialty
Burjeel Day Surgery Center,https://burjeel.com,Abu Dhabi,Multi-Specialty
Al Salama Hospital Clinics,https://alsalamahospital.com,Abu Dhabi,Multi-Specialty
The British Clinic Abu Dhabi,https://thebritishclinic.ae,Abu Dhabi,Multi-Specialty
Ahalia Medical Group,https://ahaliagroup.com,Abu Dhabi,Multi-Specialty
Lifeline Hospital Clinics,https://lifelinehospitals.com,Abu Dhabi,Multi-Specialty
American European Medical Center,https://aemc.ae,Abu Dhabi,Multi-Specialty
Gulf International Cancer Center,https://gulficc.com,Abu Dhabi,Multi-Specialty
Thumbay Clinic,https://thumbay.com,Sharjah,Multi-Specialty
Al Zahra Medical Center,https://azmc.ae,Sharjah,Multi-Specialty
Zulekha Clinic,https://zulekhahospitals.com,Sharjah,Multi-Specialty
Prime Medical Clinic Sharjah,https://www.primemedicalcenter.ae,Sharjah,Multi-Specialty
Medcare Clinics,https://medcare.ae,Sharjah,Multi-Specialty
RAK Medical Center,https://rakmedicalcenter.ae,Ras Al Khaimah,Multi-Specialty
Al Razi Clinic RAK,https://alraziclinic.ae,Ras Al Khaimah,Multi-Specialty
NMC Clinic RAK,https://nmc.ae,Ras Al Khaimah,Multi-Specialty
Ajman Specialty Clinic,https://ajmanspecialty.ae,Ajman,Multi-Specialty
Amina Hospital Clinics,https://aminahospitals.com,Ajman,Multi-Specialty
Fujairah Medical Center,https://fujairahmc.ae,Fujairah,Multi-Specialty
NMC Clinic Fujairah,https://nmc.ae,Fujairah,Multi-Specialty
Lifeline Clinic Al Ain,https://lifelinehospitals.com,Al Ain,Multi-Specialty
Ahalia Clinic Al Ain,https://ahaliagroup.com,Al Ain,Multi-Specialty
